seq1	>ref-NC_002551.1 Vesicular exanthema of swine virus, complete genome-table6-Caliciviridae-HMM1373-1856_23.0-ORF55
seq163	>nrnt-GQ856473 Norovirus Hu/GII.4/Beijing/55042/2007/CHN RNA-dependent RNA polymerase gene, partial cds; and capsid and minor structural protein genes, complete cds.-table6-Caliciviridae-HMM1-234_82.0-ORF9
seq164	>nrnt-GQ856472 Norovirus Hu/GII.4/Beijing/54660/2007/CHN RNA-dependent RNA polymerase gene, partial cds; and capsid and minor structural protein genes, complete cds.-table6-Caliciviridae-HMM1-234_82.0-ORF8
seq165	>nrnt-GQ856465 Norovirus Hu/GII.4/Beijing/55028/2007/CHN nonfunctional RNA-dependent RNA polymerase gene, partial sequence; and capsid and minor structural protein genes, complete cds.-table4-Caliciviridae-HMM1-240_76.0-ORF9
seq166	>nrnt-FV536857 (REVERSE SENSE) Modified Microbial Nucleic Acid.-table6-Caliciviridae-HMM1180-1666_19.0-ORF99
seq167	>nrnt-FV536855 Modified Microbial Nucleic Acid.-table6-Caliciviridae-HMM74-327_76.0-ORF51
seq168	>nrnt-AF093797 Norwalk virus, complete genome.-table6-Caliciviridae-HMM1294-1758_25.0-ORF49
seq169	>nrnt-GQ475302 Calicivirus isolate Allston 2008/US, complete genome.-table4-Caliciviridae-HMM1425-1908_18.0-ORF61
seq170	>nrnt-DQ366345 Sapovirus Hu/Ehime643/March 2000/JP ORF1, ORF3, and ORF2 mRNA, complete cds.-table4-Caliciviridae-HMM1222-1698_20.0-ORF57
seq171	>nrnt-AY646856 Sapovirus NongKhai-24/Thailand, complete genome.-table4-Caliciviridae-HMM1239-1715_20.0-ORF65
seq172	>nrnt-DQ125334 Sapovirus Hu/Angelholm/SW314/2004/SE polyprotein mRNA, complete cds; and unknown genes.-table4-Caliciviridae-HMM1227-1703_20.0-ORF61
seq173	>nrnt-AB083780 Norwalk-like virus genomic RNA, complete genome, strain: YURI.-table4-Caliciviridae-HMM1220-1685_27.0-ORF49
seq174	>nrnt-AB221131 Porcine enteric sapovirus genes for polyprotein, small basic protein, partial and complete cds, strain: K10/JP.-table4-Caliciviridae-HMM1-246_24.0-ORF20
seq175	>nrnt-EU391643 Tulane virus nonstructural polyprotein, capsid protein, and minor structural protein VP2 genes, complete cds.-table4-Caliciviridae-HMM994-1429_21.0-ORF61
seq176	>nrnt-AB365435 Norovirus Hu/Texas/TCH04-577/2004/US genomic RNA, complete genome.-table4-Caliciviridae-HMM1208-1673_27.0-ORF45
seq177	>nrnt-AY646855 Sapovirus SaKaeo-15/Thailand, complete genome.-table6-Caliciviridae-HMM1226-1702_20.0-ORF77
seq178	>nrnt-AY237419 Sapovirus Mc2, complete genome.-table6-Caliciviridae-HMM1226-1702_20.0-ORF67
seq179	>nrnt-AB039780 Norwalk-like virus genomic RNA, complete genome, isolate:Saitama U25.-table4-Caliciviridae-HMM1208-1673_26.0-ORF56
seq180	>nrnt-AB039774 Norwalk-like virus genomic RNA, complete genome, isolate:SzUG1.-table6-Caliciviridae-HMM1297-1761_25.0-ORF50
seq181	>tsa-GAXR01008826.1 TSA: Stigmatomma oregonense comp7586_c1_seq1 transcribed RNA sequence-table6-Caliciviridae-HMM17-164_76.0-ORF7
seq182	>tsa-GFTX01069879.1 TSA: Ulva lactuca c33627_g2_i1 transcribed RNA sequence-table6-Caliciviridae-HMM632-795_16.0-ORF26
